"filename", "language", "TypeScript React", "comment", "blank", "total"
"e:\Data Portfolio\azri-fb-clone\components\Buttons\ExtIconSquareBtn.tsx", "TypeScript React", 25, 0, 5, 30
"e:\Data Portfolio\azri-fb-clone\components\Buttons\ExtLinkTextBtn.tsx", "TypeScript React", 28, 6, 4, 38
"e:\Data Portfolio\azri-fb-clone\components\Buttons\IconBtn.tsx", "TypeScript React", 21, 0, 4, 25
"e:\Data Portfolio\azri-fb-clone\components\Buttons\IconRoundTextBtn.tsx", "TypeScript React", 30, 0, 4, 34
"e:\Data Portfolio\azri-fb-clone\components\Buttons\IconSquareBtn.tsx", "TypeScript React", 22, 0, 4, 26
"e:\Data Portfolio\azri-fb-clone\components\Buttons\IconTextBtn.tsx", "TypeScript React", 18, 0, 4, 22
"e:\Data Portfolio\azri-fb-clone\components\Buttons\ImgBtn.tsx", "TypeScript React", 24, 6, 4, 34
"e:\Data Portfolio\azri-fb-clone\components\Buttons\LinkIconTextBtn.tsx", "TypeScript React", 22, 0, 3, 25
"e:\Data Portfolio\azri-fb-clone\components\Buttons\LinkImgBtn.tsx", "TypeScript React", 28, 6, 4, 38
"e:\Data Portfolio\azri-fb-clone\components\Buttons\LinkImgTextBtn.tsx", "TypeScript React", 41, 6, 4, 51
"e:\Data Portfolio\azri-fb-clone\components\Buttons\TextBtn.tsx", "TypeScript React", 12, 0, 3, 15
"e:\Data Portfolio\azri-fb-clone\components\HomePage\Contacts.tsx", "TypeScript React", 139, 0, 8, 147
"e:\Data Portfolio\azri-fb-clone\components\HomePage\MainContent.tsx", "TypeScript React", 14, 0, 3, 17
"e:\Data Portfolio\azri-fb-clone\components\HomePage\MainLeftSidebar.tsx", "TypeScript React", 112, 3, 6, 121
"e:\Data Portfolio\azri-fb-clone\components\HomePage\MainPosts.tsx", "TypeScript React", 70, 1, 5, 76
"e:\Data Portfolio\azri-fb-clone\components\HomePage\MainRightSidebar.tsx", "TypeScript React", 39, 3, 5, 47
"e:\Data Portfolio\azri-fb-clone\components\HomePage\Post.tsx", "TypeScript React", 125, 8, 17, 150
"e:\Data Portfolio\azri-fb-clone\components\HomePage\PostComment.tsx", "TypeScript React", 104, 1, 11, 116
"e:\Data Portfolio\azri-fb-clone\components\HomePage\PostContent.tsx", "TypeScript React", 139, 2, 3, 144
"e:\Data Portfolio\azri-fb-clone\components\HomePage\PostHeader.tsx", "TypeScript React", 193, 6, 15, 214
"e:\Data Portfolio\azri-fb-clone\components\HomePage\PostingForm.tsx", "TypeScript React", 35, 2, 6, 43
"e:\Data Portfolio\azri-fb-clone\components\HomePage\PostingFormImage.tsx", "TypeScript React", 73, 0, 6, 79
"e:\Data Portfolio\azri-fb-clone\components\HomePage\Sponsor.tsx", "TypeScript React", 48, 0, 3, 51
"e:\Data Portfolio\azri-fb-clone\components\HomePage\Stories.tsx", "TypeScript React", 109, 2, 9, 120
"e:\Data Portfolio\azri-fb-clone\components\LoadingSpinner.tsx", "TypeScript React", 25, 0, 3, 28
"e:\Data Portfolio\azri-fb-clone\components\Profile\HeaderBar.tsx", "TypeScript React", 78, 0, 3, 81
"e:\Data Portfolio\azri-fb-clone\components\Profile\ProfileFriends.tsx", "TypeScript React", 75, 1, 5, 81
"e:\Data Portfolio\azri-fb-clone\components\Profile\ProfileHeader.tsx", "TypeScript React", 113, 5, 8, 126
"e:\Data Portfolio\azri-fb-clone\components\Profile\ProfileInfo.tsx", "TypeScript React", 55, 0, 7, 62
"e:\Data Portfolio\azri-fb-clone\components\Profile\ProfileLeftSide.tsx", "TypeScript React", 25, 0, 3, 28
"e:\Data Portfolio\azri-fb-clone\components\Profile\ProfilePhotos.tsx", "TypeScript React", 30, 0, 3, 33
"e:\Data Portfolio\azri-fb-clone\components\Profile\ProfilePost.tsx", "TypeScript React", 43, 0, 4, 47
"e:\Data Portfolio\azri-fb-clone\components\navbar\Footer.tsx", "TypeScript React", 9, 0, 3, 12
"e:\Data Portfolio\azri-fb-clone\components\navbar\Layout.tsx", "TypeScript React", 24, 0, 3, 27
"e:\Data Portfolio\azri-fb-clone\components\navbar\LogoSearch.tsx", "TypeScript React", 92, 0, 5, 97
"e:\Data Portfolio\azri-fb-clone\components\navbar\NavLinks.tsx", "TypeScript React", 75, 0, 5, 80
"e:\Data Portfolio\azri-fb-clone\components\navbar\NavMenu.tsx", "TypeScript React", 87, 0, 9, 96
"e:\Data Portfolio\azri-fb-clone\components\navbar\Navbar.tsx", "TypeScript React", 25, 0, 4, 29
"e:\Data Portfolio\azri-fb-clone\components\navbar\modals\Confirming.tsx", "TypeScript React", 50, 0, 5, 55
"e:\Data Portfolio\azri-fb-clone\components\navbar\modals\ModalEdit.tsx", "TypeScript React", 215, 7, 16, 238
"e:\Data Portfolio\azri-fb-clone\components\navbar\modals\ModalPost.tsx", "TypeScript React", 184, 1, 12, 197
"e:\Data Portfolio\azri-fb-clone\components\navbar\navBarDropMenu\CreateMenu.tsx", "TypeScript React", 87, 0, 6, 93
"e:\Data Portfolio\azri-fb-clone\components\navbar\navBarDropMenu\MainMenu.tsx", "TypeScript React", 140, 0, 6, 146
"e:\Data Portfolio\azri-fb-clone\components\navbar\navBarDropMenu\NotificationMenu.tsx", "TypeScript React", 133, 5, 11, 149
"e:\Data Portfolio\azri-fb-clone\components\navbar\navBarDropMenu\ProfileMenu.tsx", "TypeScript React", 193, 0, 12, 205
"e:\Data Portfolio\azri-fb-clone\components\navbar\navBarDropMenu\SearchMenu.tsx", "TypeScript React", 180, 3, 11, 194
"Total", "-", 3409, 74, 284, 3767
